city,key,time,inc_quart,inc_quart_legend_label,atusmd_ratio
Los Angeles,6,6:00,Q1,Q1 (Low),0.480158744
Los Angeles,7,7:00,Q1,Q1 (Low),0.856955269
Los Angeles,8,8:00,Q1,Q1 (Low),3.11045369
Los Angeles,9,9:00,Q1,Q1 (Low),1.712889938
Los Angeles,10,10:00,Q1,Q1 (Low),1.159419456
Los Angeles,11,11:00,Q1,Q1 (Low),1.40827948
Los Angeles,12,12:00,Q1,Q1 (Low),0.672744264
Los Angeles,13,13:00,Q1,Q1 (Low),1.298461893
Los Angeles,14,14:00,Q1,Q1 (Low),0
Los Angeles,15,15:00,Q1,Q1 (Low),0.761337747
Los Angeles,16,16:00,Q1,Q1 (Low),1.246150822
Los Angeles,17,17:00,Q1,Q1 (Low),3.940194557
Los Angeles,18,18:00,Q1,Q1 (Low),4.262197793
Los Angeles,19,19:00,Q1,Q1 (Low),3.253975564
Los Angeles,20,20:00,Q1,Q1 (Low),2.976362069
Los Angeles,21,21:00,Q1,Q1 (Low),0
Los Angeles,22,22:00,Q1,Q1 (Low),0
Los Angeles,23,23:00,Q1,Q1 (Low),2.625230791
Los Angeles,0,0:00,Q2,Q2,0
Los Angeles,1,1:00,Q2,Q2,0
Los Angeles,2,2:00,Q2,Q2,0
Los Angeles,3,3:00,Q2,Q2,0
Los Angeles,4,4:00,Q2,Q2,1.470391631
Los Angeles,5,5:00,Q2,Q2,0.71955238
Los Angeles,6,6:00,Q2,Q2,0.39841211
Los Angeles,7,7:00,Q2,Q2,0.505557
Los Angeles,8,8:00,Q2,Q2,2.473127999
Los Angeles,9,9:00,Q2,Q2,6.479481793
Los Angeles,10,10:00,Q2,Q2,1.210261707
Los Angeles,11,11:00,Q2,Q2,8.994198672
Los Angeles,12,12:00,Q2,Q2,6.099625784
Los Angeles,13,13:00,Q2,Q2,1.674211609
Los Angeles,14,14:00,Q2,Q2,0
Los Angeles,15,15:00,Q2,Q2,0.742079379
Los Angeles,16,16:00,Q2,Q2,4.781628318
Los Angeles,17,17:00,Q2,Q2,6.536498661
Los Angeles,18,18:00,Q2,Q2,4.3178872
Los Angeles,19,19:00,Q2,Q2,1.77832023
Los Angeles,20,20:00,Q2,Q2,0
Los Angeles,21,21:00,Q2,Q2,0
Los Angeles,22,22:00,Q2,Q2,0
Los Angeles,23,23:00,Q2,Q2,0
Los Angeles,0,0:00,Q3,Q3,0
Los Angeles,1,1:00,Q3,Q3,0
Los Angeles,2,2:00,Q3,Q3,0
Los Angeles,3,3:00,Q3,Q3,0
Los Angeles,4,4:00,Q3,Q3,0
Los Angeles,5,5:00,Q3,Q3,0.845321256
Los Angeles,6,6:00,Q3,Q3,2.502992097
Los Angeles,7,7:00,Q3,Q3,2.768213881
Los Angeles,8,8:00,Q3,Q3,5.391170778
Los Angeles,9,9:00,Q3,Q3,2.0523953
Los Angeles,10,10:00,Q3,Q3,1.173214243
Los Angeles,11,11:00,Q3,Q3,1.596906883
Los Angeles,12,12:00,Q3,Q3,0.225847955
Los Angeles,13,13:00,Q3,Q3,0
Los Angeles,14,14:00,Q3,Q3,0.35621825
Los Angeles,15,15:00,Q3,Q3,2.688478181
Los Angeles,16,16:00,Q3,Q3,1.952122176
Los Angeles,17,17:00,Q3,Q3,0.081005871
Los Angeles,18,18:00,Q3,Q3,6.388820536
Los Angeles,19,19:00,Q3,Q3,2.925938603
Los Angeles,20,20:00,Q3,Q3,2.341924244
Los Angeles,21,21:00,Q3,Q3,1.409414052
Los Angeles,22,22:00,Q3,Q3,0
Los Angeles,23,23:00,Q3,Q3,0
Los Angeles,0,0:00,Q4,Q4 (High),0
Los Angeles,1,1:00,Q4,Q4 (High),0
Los Angeles,2,2:00,Q4,Q4 (High),0
Los Angeles,3,3:00,Q4,Q4 (High),0
Los Angeles,4,4:00,Q4,Q4 (High),0
Los Angeles,5,5:00,Q4,Q4 (High),0.556372877
Los Angeles,6,6:00,Q4,Q4 (High),1.554633883
Los Angeles,7,7:00,Q4,Q4 (High),0.771032192
Los Angeles,8,8:00,Q4,Q4 (High),1.915611322
Los Angeles,9,9:00,Q4,Q4 (High),2.411797007
Los Angeles,10,10:00,Q4,Q4 (High),2.599419859
Los Angeles,11,11:00,Q4,Q4 (High),2.499189054
Los Angeles,12,12:00,Q4,Q4 (High),2.426795017
Los Angeles,13,13:00,Q4,Q4 (High),0.712932558
Los Angeles,14,14:00,Q4,Q4 (High),0.309773121
Los Angeles,15,15:00,Q4,Q4 (High),0.139025367
Los Angeles,16,16:00,Q4,Q4 (High),1.683425197
Los Angeles,17,17:00,Q4,Q4 (High),3.050652668
Los Angeles,18,18:00,Q4,Q4 (High),3.908706049
Los Angeles,19,19:00,Q4,Q4 (High),2.272743845
Los Angeles,20,20:00,Q4,Q4 (High),2.150055286
Los Angeles,21,21:00,Q4,Q4 (High),0.431747791
Los Angeles,22,22:00,Q4,Q4 (High),0
Los Angeles,23,23:00,Q4,Q4 (High),0
Miami,0,0:00,Q1,Q1 (Low),0
Miami,1,1:00,Q1,Q1 (Low),0
Miami,2,2:00,Q1,Q1 (Low),0
Miami,3,3:00,Q1,Q1 (Low),0
Miami,4,4:00,Q1,Q1 (Low),4.058554563
Miami,5,5:00,Q1,Q1 (Low),4.373450236
Miami,6,6:00,Q1,Q1 (Low),0.571324462
Miami,7,7:00,Q1,Q1 (Low),0.82784776
Miami,8,8:00,Q1,Q1 (Low),2.732535248
Miami,9,9:00,Q1,Q1 (Low),1.578192584
Miami,10,10:00,Q1,Q1 (Low),1.050947172
Miami,11,11:00,Q1,Q1 (Low),1.200766875
Miami,12,12:00,Q1,Q1 (Low),0.63614509
Miami,13,13:00,Q1,Q1 (Low),1.163817228
Miami,14,14:00,Q1,Q1 (Low),0
Miami,15,15:00,Q1,Q1 (Low),0.620256614
Miami,16,16:00,Q1,Q1 (Low),1.134804172
Miami,17,17:00,Q1,Q1 (Low),3.77466269
Miami,18,18:00,Q1,Q1 (Low),4.281131617
Miami,19,19:00,Q1,Q1 (Low),3.296793312
Miami,20,20:00,Q1,Q1 (Low),3.126836041
Miami,21,21:00,Q1,Q1 (Low),0
Miami,22,22:00,Q1,Q1 (Low),0
Miami,23,23:00,Q1,Q1 (Low),3.1895531
Miami,0,0:00,Q2,Q2,0
Miami,1,1:00,Q2,Q2,0
Miami,2,2:00,Q2,Q2,0
Miami,3,3:00,Q2,Q2,0
Miami,4,4:00,Q2,Q2,1.820557238
Miami,5,5:00,Q2,Q2,1.13683868
Miami,6,6:00,Q2,Q2,0.446523563
Miami,7,7:00,Q2,Q2,0.490454026
Miami,8,8:00,Q2,Q2,2.403585184
Miami,9,9:00,Q2,Q2,5.713400309
Miami,10,10:00,Q2,Q2,0.994423523
Miami,11,11:00,Q2,Q2,7.197164381
Miami,12,12:00,Q2,Q2,4.671746866
Miami,13,13:00,Q2,Q2,1.304390072
Miami,14,14:00,Q2,Q2,0
Miami,15,15:00,Q2,Q2,0.597552789
Miami,16,16:00,Q2,Q2,4.63271402
Miami,17,17:00,Q2,Q2,6.482584022
Miami,18,18:00,Q2,Q2,4.103525356
Miami,19,19:00,Q2,Q2,1.598812108
Miami,20,20:00,Q2,Q2,0
Miami,21,21:00,Q2,Q2,0
Miami,22,22:00,Q2,Q2,0
Miami,23,23:00,Q2,Q2,0
Miami,0,0:00,Q3,Q3,0
Miami,1,1:00,Q3,Q3,0
Miami,2,2:00,Q3,Q3,0
Miami,3,3:00,Q3,Q3,0
Miami,4,4:00,Q3,Q3,0
Miami,5,5:00,Q3,Q3,0.701990098
Miami,6,6:00,Q3,Q3,2.366380803
Miami,7,7:00,Q3,Q3,2.685777366
Miami,8,8:00,Q3,Q3,4.895720005
Miami,9,9:00,Q3,Q3,1.730159306
Miami,10,10:00,Q3,Q3,1.006753972
Miami,11,11:00,Q3,Q3,1.446540268
Miami,12,12:00,Q3,Q3,0.212595764
Miami,13,13:00,Q3,Q3,0
Miami,14,14:00,Q3,Q3,0.31384641
