poi_type,city,term,estimate,std.error,std.error.x2,p.value,sig_levels,significance
Grocery,Seattle,Fraction of Q1 visitors,0.311796544,0.111283336,0.222566671,0.005791112,**,Significant
Grocery,Seattle,Fraction of Q4 visitors,0.053478643,0.112214378,0.224428755,0.634396841,,Not Significant
Grocery,Washington,Segregation,-0.205696463,0.071480876,0.142961751,0.004307445,**,Significant
Grocery,Washington,# POIs per CBG,-0.071719519,0.057249729,0.114499459,0.211316968,,Not Significant
Grocery,Washington,# Unique visitors,-0.034694766,0.061422723,0.122845446,0.572615464,,Not Significant
Grocery,Washington,Fraction of Q1 visitors,-0.081104492,0.088120865,0.176241731,0.358148295,,Not Significant
Grocery,Washington,Fraction of Q4 visitors,0.074186171,0.076951324,0.153902648,0.335824336,,Not Significant
Gym,Boston,Segregation,-0.373617511,0.124589134,0.249178269,0.003690089,**,Significant
Gym,Boston,# POIs per CBG,0.111076282,0.109781907,0.219563814,0.314935178,,Not Significant
Gym,Boston,# Unique visitors,-0.118034854,0.113942525,0.227885051,0.303614847,,Not Significant
Gym,Boston,Fraction of Q1 visitors,-0.153627578,0.14388068,0.287761359,0.289107443,,Not Significant
Gym,Boston,Fraction of Q4 visitors,-0.415906942,0.147337457,0.294674914,0.006111003,**,Significant
Gym,Chicago,Segregation,-0.295834501,0.050630318,0.101260636,1.1481248406566e-08,***,Significant
Gym,Chicago,# POIs per CBG,0.019035273,0.047055939,0.094111878,0.686067404,,Not Significant
Gym,Chicago,# Unique visitors,-0.101580202,0.047934634,0.095869267,0.034762809,*,Significant
Gym,Chicago,Fraction of Q1 visitors,-0.242667503,0.059335187,0.118670374,5.33072425935863e-05,***,Significant
Gym,Chicago,Fraction of Q4 visitors,-0.459449844,0.059246827,0.118493653,9.17644627381041e-14,***,Significant
Gym,Dallas,Segregation,-0.25845522,0.060079545,0.120159089,2.3988573888231e-05,***,Significant
Gym,Dallas,# POIs per CBG,0.043956154,0.056206113,0.112412225,0.434895097,,Not Significant
Gym,Dallas,# Unique visitors,-0.063389485,0.058323106,0.116646211,0.278101962,,Not Significant
Gym,Dallas,Fraction of Q1 visitors,-0.119631525,0.069568735,0.13913747,0.086692268,.,Not Significant
Gym,Dallas,Fraction of Q4 visitors,-0.393415101,0.070924138,0.141848275,7.14488639833168e-08,***,Significant
Gym,Detroit,Segregation,-0.312681094,0.083719971,0.167439942,0.000303066,***,Significant
Gym,Detroit,# POIs per CBG,-0.103074485,0.079734276,0.159468552,0.198890686,,Not Significant
Gym,Detroit,# Unique visitors,-0.071965759,0.07928311,0.15856622,0.366073344,,Not Significant
Gym,Detroit,Fraction of Q1 visitors,-0.370276174,0.099138072,0.198276144,0.000302949,***,Significant
Gym,Detroit,Fraction of Q4 visitors,-0.633704487,0.099182732,0.198365465,4.43250930586397e-09,***,Significant
Gym,Los Angeles,Segregation,-0.270923285,0.055090973,0.110181947,1.48117033143377e-06,***,Significant
Gym,Los Angeles,# POIs per CBG,-0.077296453,0.050243759,0.100487518,0.125053247,,Not Significant
Gym,Los Angeles,# Unique visitors,-0.040471859,0.052399848,0.104799697,0.440537729,,Not Significant
Gym,Los Angeles,Fraction of Q1 visitors,-0.395843563,0.064612538,0.129225076,2.97830003166987e-09,***,Significant
Gym,Los Angeles,Fraction of Q4 visitors,-0.460709833,0.063201599,0.126403197,3.07507996227968e-12,***,Significant
Gym,Miami,Segregation,-0.221834576,0.062466484,0.124932968,0.000453036,***,Significant
Gym,Miami,# POIs per CBG,-0.038941677,0.054646488,0.109292976,0.476708907,,Not Significant
Gym,Miami,# Unique visitors,-0.055053996,0.059489217,0.118978435,0.355570185,,Not Significant
Gym,Miami,Fraction of Q1 visitors,-0.396081109,0.065234648,0.130469296,4.3324933652197e-09,***,Significant
Gym,Miami,Fraction of Q4 visitors,-0.388858408,0.068205406,0.136410811,3.1441508006572e-08,***,Significant
Gym,New York,Segregation,-0.153697071,0.044624902,0.089249804,0.000623821,***,Significant
Gym,New York,# POIs per CBG,0.074335172,0.041457168,0.082914337,0.073603529,.,Not Significant
Gym,New York,# Unique visitors,0.018773759,0.042821497,0.085642995,0.661283146,,Not Significant
Gym,New York,Fraction of Q1 visitors,-0.429549457,0.049325201,0.098650402,5.21122667017305e-17,***,Significant
Gym,New York,Fraction of Q4 visitors,-0.500945124,0.047702541,0.095405082,2.51991272015369e-23,***,Significant
Gym,Philadelphia,Segregation,-0.233451715,0.096473466,0.192946931,0.01724474,*,Significant
Gym,Philadelphia,# POIs per CBG,0.002814556,0.088188795,0.176377591,0.974600327,,Not Significant
Gym,Philadelphia,# Unique visitors,0.046014936,0.089718921,0.179437841,0.609113411,,Not Significant
Gym,Philadelphia,Fraction of Q1 visitors,-0.343902978,0.124788516,0.249577033,0.006902505,**,Significant
Gym,Philadelphia,Fraction of Q4 visitors,-0.427743742,0.116301509,0.232603017,0.000372768,***,Significant
Gym,San Francisco,Segregation,-0.235950924,0.101310593,0.202621187,0.021956979,*,Significant
Gym,San Francisco,# POIs per CBG,-0.086889007,0.085933312,0.171866624,0.314500055,,Not Significant
Gym,San Francisco,# Unique visitors,0.057821414,0.088872422,0.177744845,0.51685148,,Not Significant
Gym,San Francisco,Fraction of Q1 visitors,-0.343014585,0.11339193,0.22678386,0.003189934,**,Significant
Gym,San Francisco,Fraction of Q4 visitors,-0.517238233,0.117601738,0.235203477,2.82374664253375e-05,***,Significant
Gym,Seattle,Segregation,-0.345031721,0.130758201,0.261516401,0.010548141,*,Significant
Gym,Seattle,# POIs per CBG,0.018279247,0.118975774,0.237951548,0.87840201,,Not Significant
Gym,Seattle,# Unique visitors,-0.011095752,0.1295761,0.2591522,0.932040073,,Not Significant
Gym,Seattle,Fraction of Q1 visitors,-0.216061075,0.135611685,0.271223369,0.116276875,,Not Significant
Gym,Seattle,Fraction of Q4 visitors,-0.360156073,0.138455684,0.276911369,0.011640204,*,Significant
Gym,Washington,Segregation,-0.427842025,0.079272233,0.158544466,2.76946772532528e-07,***,Significant
Gym,Washington,# POIs per CBG,0.022436304,0.074177214,0.148354428,0.762737195,,Not Significant
Gym,Washington,# Unique visitors,-0.00467755,0.079030653,0.158061307,0.952886755,,Not Significant
Gym,Washington,Fraction of Q1 visitors,-0.140041927,0.089456747,0.178913493,0.119698374,,Not Significant
Gym,Washington,Fraction of Q4 visitors,-0.307886712,0.089624258,0.179248516,0.000776352,***,Significant
